city,state,averageTempMonthly,month,lat,lon,averageAQIMonthly,mainPollutantMonthly,AQI category,averagePrecipitationMonthly,averageWindSpeedMonthly
Chicago,IL,5,December,41.8781,87.6298,51,PM2.5,Good,2,14
Cleveland,OH,7,December,41.4993,-81.6944,51,PM2.5,Moderate,2,17
Dallas,TX,12,December,32.7767,-96.797,43,PM2.5,Good,3,12
Denver,CO,1,December,39.7392,-104.9903,52,Ozone,Good,0,10
Detroit,MI,4,December,42.3314,-83.0458,53,PM2.5,Moderate,2,14
Greensboro,NC,7,December,36.0726,-79.7915,37,PM2.5,Good,5,9
Houston,TX,15,December,29.7604,-95.3698,58,PM2.5,Moderate,3,16
Ithaca,NY,3,December,42.444,-76.5019,28,Ozone,Good,4,12
Kahului,HI,23,December,20.889,-156.4743,14,PM2.5,Good,0,19
Los Angeles,CA,16,December,34.0522,-118.2437,69,PM2.5,Moderate,3,4
Madison,WI,2,December,43.0731,-89.4012,34,PM2.5,Good,1,11
Miami,FL,22,December,25.7617,-80.1918,44,Ozone,Good,3,13
Minneapolis,MN,1,December,44.9778,-93.265,46,PM2.5,Good,2,10
New York City,NY,7,December,40.7128,-74.006,55,PM2.5,Moderate,6,10
Orlando,FL,18,December,28.5383,-81.3792,35,Ozone,Good,3,13
Philadelphia,PA,7,December,39.9526,-75.1652,59,PM2.5,Moderate,6,11
Phoenix,AZ,15,December,33.4484,-112.074,84,PM2.5,Moderate,0,7
Portland,OR,8,December,45.5155,-122.6793,40,PM2.5,Good,7,13
Raleigh,NC,10,December,35.7796,-78.6382,38,PM2.5,Good,5,7
Richmond,VA,8,December,37.5407,-77.436,39,PM2.5,Good,7,8
