Date,Overall AQI Value,Main Pollutant,Ozone,PM25,CO,PM10,NO2,AQI category,city,state,Temperature,Precipitation,Wind Speed
2023-08-11,33,Ozone,33.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,18.5,1.0,9.9
2023-08-12,38,Ozone,38.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,19.6,22.9,10.7
2023-08-13,31,Ozone,31.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,21.0,4.1,10.7
2023-08-14,26,Ozone,26.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,19.7,1.8,3.9
2023-08-15,29,Ozone,29.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,18.9,29.6,5.7
2023-08-16,36,Ozone,36.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,19.8,3.0,8.1
2023-08-17,36,Ozone,36.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,21.4,7.4,14.1
2023-08-18,37,Ozone,37.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,17.6,4.6,17.1
2023-08-19,33,Ozone,33.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,17.5,0.0,16.0
2023-08-20,38,Ozone,38.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,18.8,0.0,6.0
2023-08-21,38,Ozone,38.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,19.9,0.6,9.9
